Items,Synonym 1,Synonym 2
Managing behavior,Controlling actions,Regulating conduct
Expressive communication,Outward communication,Messaging
Receptive communication,Inbound communication,Message intepretation
Seeking help,Requesting assistance,Requesting aid
Asking questions,Seeking answers,Requesting information
Following directions,Adherence,Compliance
Habits / routines,Regular activities,Daily patterns
Perception,Observation,Situational awareness
Relationships with unfamiliar people,Interactions with strangers,Connections to new acquaintances
Relationships with peers,Social connections,Connections to friends
Relationships with parents,Family bonds,Connection with caregivers
Relationships with teachers,Student/educator rapport,Interactions with instructors
Social cooperation,Collaboration with others,Teamwork
Comfort in social situations,Interpersonal ease,Confidence in groups
Social communication,Interpersonal interaction,Interpersonal exchange
Social activity,Group interaction,Interpersonal participation
Social awareness,Interpersonal understanding,Interpersonal perception
Respect for others,Accepting diversity,Cultural sensitivity
Sexual behavior,Gender expression,Gender interactions
Play,Recreation,Imaginative activity
Social belonging,Feeling accepted,Social validation
Sense of safety,Personal security,Feeling protected
Response to peer pressure,Social conformity,Reaction to group influence
Bullying,Intimidation,Harassment
Managing conflict,Resolving disputes,Handling disagreements
Coping skills,Managing challenges,Navigating difficulties
Adaptibility,Flexibility,Change management
Resourcefulness,Use of environment,Finding solutions in one's surroundings
Resilience,Recovery capacity,Psychological toughness
Managing emotions,Regulating feelings,Controlling feelings
Emotional expression,Displaying feelings,Showing feelings
Emotional awareness,Recognition of feelings,Mood perception
Mood,Emotional state,Emotional disposition
Worrying,Feeling anxious,Concerned
Managing thoughts,Cognitive control,Mental regulation
Reasoning ability,Logical thinking,Analytical capacity
Decision-making,Choice selection,Making choices
Problem solving,Overcoming obstacles,Troubleshooting
Learning new things,Knowledge acquisition,Skill development
Learning from feedback and mistakes,Response to criticism,Improvement from errors
Attention,Focus,Concentration
Memory,Retaining information,Recalling information
Planning,Strategic preparation,Goal mapping
Organization,Orderly structuring,Systematic arrangement
Time management,Schedule planning,Setting priorities
Setting and striving for goals,Pursuing objectives,Working for outcomes
Task initiation,Starting projects,Launching activities
Task completion,Finishing the job,Accomplishing work
Thinking speed,Cognitive pace,Rate of thought processing
Abstract thinking,Conceptual thought,Symbolic processing
Creativity and imagination,Innovative thoughts,Ingenuity
Knowledge and skills,Proficiencies,Competencies
Reading,Understanding text,Text comprehension
Writing,Composition,Penmanship
Motivation,Drive or ambition,Personal incentive
Leadership,Command responsibility,Exercizing authority
Curiosity,Inquisitiveness,Use of imagination
Willingness to try new things,Adventurous spirit,Openness to novelty
Openness,Receptive mindset,Open mindset
Respect for others,Accepting diversity,Cultural sensitivity
Fairness,Justice,Even-handedness
Politeness,Courteous,Respectful
Patience,Frustration tolerance,Ability to wait
Helpfulness,Assisting others,Supportive
Kindness and caring,Empathy,Compassion
Integrity and honesty,Moral,Truthful
Responsibility,Accountability,Sense of duty
Work habits,Industriousness,Diligence
Independence,Self-reliance,Autonomy
Initiative,Self-starting,Proactive
Assertiveness,Directness,Boldness
Perseverance,Persistence,Tenacity
Future outlook,Prospective view,Expectations
Activity level,Energy level,Vitality
Effort,Exertion,Striving
Self-control,Willpower,Restraint
Self-awareness,Personal insight,Inner understanding
Self-monitoring,Personal observation,Behavioral tracking
Self-reflection,Introspection,Looking inward
Self-acceptance,Self-kindness,Approval of oneself
Self-confidence,Belief in oneself,Trust in oneself
Self-advocacy,Standing up for oneself,Individual championing
Self-care / hygiene,Personal grooming,Personal appearance
Eating and diet,Nutritional habits,Food consumption
Emotional well-being,Mental health,Psychological balance
Sleep and fatigue,Exhaustion,Drowsiness
Stress management,Reducing tension,Managing worries
Substance use,Drug consumption,Drug intake
Academic performance,Scholastic achievement,Educational outcomes
Class participation,Student engagement,Classroom contribution
